Date,Total Trip Distance | Ends | Scooters
2022-01-01,0
2022-01-02,255
2022-01-03,1226
2022-01-04,2158
2022-01-05,1100
2022-01-06,0
2022-01-07,2347
2022-01-08,7417
2022-01-09,3381
2022-01-10,4165
2022-01-11,3443
2022-01-12,4314
2022-01-13,6043
2022-01-14,4452
2022-01-15,8365
2022-01-16,7906
2022-01-17,6345
2022-01-18,4782
2022-01-19,1948
2022-01-20,3176
2022-01-21,2667
2022-01-22,6989
2022-01-23,5678
2022-01-24,2511
2022-01-25,334
2022-01-26,1841
2022-01-27,696
2022-01-28,2830
2022-01-29,6726
2022-01-30,6372
2022-01-31,3530
2022-02-01,1436
2022-02-02,50
2022-02-03,389
2022-02-04,1661
2022-02-05,4363
2022-02-06,4499
2022-02-07,4011
2022-02-08,5010
2022-02-09,5681
2022-02-10,8019
2022-02-11,2232
2022-02-12,2191
2022-02-13,5944
2022-02-14,6765
2022-02-15,7237
2022-02-16,2268
2022-02-17,1684
2022-02-18,6994
2022-02-19,14453
2022-02-20,13139
2022-02-21,3284
2022-02-22,421
2022-02-23,423
2022-02-24,939
2022-02-25,2494
2022-02-26,5361
2022-02-27,7389
2022-02-28,6901
2022-03-01,9027
2022-03-02,9278
2022-03-03,9770
2022-03-04,12436
2022-03-05,5950
2022-03-06,528
2022-03-07,2224
2022-03-08,4096
2022-03-09,1207
2022-03-10,1475
2022-03-11,4464
2022-03-12,16591
2022-03-13,13382
2022-03-14,9163
2022-03-15,12484
2022-03-16,6388
2022-03-17,3690
2022-03-18,11063
2022-03-19,19182
2022-03-20,15826
2022-03-21,4478
2022-03-22,5136
2022-03-23,8327
2022-03-24,13337
2022-03-25,18596
2022-03-26,29175
2022-03-27,18762
2022-03-28,11336
2022-03-29,5521
2022-03-30,6698
2022-03-31,12195
2022-04-01,16951
2022-04-02,26063
2022-04-03,11500
2022-04-04,9869
2022-04-05,7145
2022-04-06,6742
2022-04-07,10249
2022-04-08,31502
2022-04-09,32030
2022-04-10,15722
2022-04-11,9663
2022-04-12,7952
2022-04-13,6364
2022-04-14,13060
2022-04-15,19358
2022-04-16,22732
2022-04-17,19626
2022-04-18,12706
2022-04-19,16440
2022-04-20,23493
2022-04-21,18887
2022-04-22,19772
2022-04-23,21149
2022-04-24,13557
2022-04-25,9743
2022-04-26,12891
2022-04-27,12633
2022-04-28,16884
2022-04-29,17663
2022-04-30,34532
2022-05-01,16603
2022-05-02,5584
2022-05-03,11686
2022-05-04,7445
2022-05-05,19518
2022-05-06,24506
2022-05-07,30503
2022-05-08,19699
2022-05-09,12252
2022-05-10,13102
2022-05-11,14595
2022-05-12,17135
2022-05-13,26271
2022-05-14,37461
2022-05-15,28783
2022-05-16,14938
2022-05-17,17149
2022-05-18,17140
2022-05-19,17713
2022-05-20,3642
2022-05-21,19061
2022-05-22,17440
2022-05-23,9998
2022-05-24,9766
2022-05-25,15897
2022-05-26,17538
2022-05-27,23688
2022-05-28,29797
2022-05-29,18603
2022-05-30,19129
2022-05-31,7206
2022-06-01,9514
2022-06-02,20386
2022-06-03,25398
2022-06-04,34862
2022-06-05,24490
2022-06-06,13394
2022-06-07,13576
2022-06-08,17072
2022-06-09,18801
2022-06-10,27025
2022-06-11,31622
2022-06-12,23791
2022-06-13,15960
2022-06-14,17150
2022-06-15,25633
2022-06-16,20849
2022-06-17,27018
2022-06-18,42227
2022-06-19,26553
2022-06-20,19910
2022-06-21,15554
2022-06-22,21435
2022-06-23,18930
2022-06-24,40209
2022-06-25,31823
2022-06-26,36084
2022-06-27,18294
2022-06-28,17506
2022-06-29,16901
2022-06-30,34193
2022-07-01,25647
2022-07-02,31785
2022-07-03,28519
2022-07-04,24391
2022-07-05,14107
2022-07-06,13410
2022-07-07,16873
2022-07-08,24254
2022-07-09,30585
2022-07-10,21304
2022-07-11,16796
2022-07-12,17674
2022-07-13,17018
2022-07-14,19916
2022-07-15,26706
2022-07-16,30368
2022-07-17,22920
2022-07-18,13698
2022-07-19,14804
2022-07-20,15448
2022-07-21,19360
2022-07-22,26271
2022-07-23,30571
2022-07-24,17430
2022-07-25,15531
2022-07-26,17452
2022-07-27,18271
2022-07-28,19812
2022-07-29,28346
2022-07-30,36474
2022-07-31,25588
2022-08-01,15159
2022-08-02,16083
2022-08-03,16933
2022-08-04,17445
2022-08-05,25762
2022-08-06,27058
2022-08-07,20231
2022-08-08,14724
2022-08-09,18378
2022-08-10,19383
2022-08-11,20966
2022-08-12,28865
2022-08-13,35642
2022-08-14,22656
2022-08-15,10623
2022-08-16,11970
2022-08-17,15631
2022-08-18,25355
2022-08-19,29838
2022-08-20,31157
2022-08-21,24832
2022-08-22,15290
2022-08-23,19138
2022-08-24,17857
2022-08-25,16745
2022-08-26,21637
2022-08-27,37036
2022-08-28,20098
2022-08-29,14089
2022-08-30,14262
2022-08-31,16551
2022-09-01,18912
2022-09-02,22813
2022-09-03,33020
2022-09-04,31209
2022-09-05,22698
2022-09-06,17408
2022-09-07,17143
2022-09-08,18753
2022-09-09,18758
2022-09-10,16867
2022-09-11,19924
2022-09-12,14053
2022-09-13,14253
2022-09-14,12585
2022-09-15,17523
2022-09-16,23945
2022-09-17,32312
2022-09-18,28855
2022-09-19,15316
2022-09-20,16338
2022-09-21,10643
2022-09-22,14656
2022-09-23,24870
2022-09-24,32281
2022-09-25,30761
2022-09-26,14781
2022-09-27,16067
2022-09-28,15622
2022-09-29,16235
2022-09-30,15770
2022-10-01,23828
2022-10-02,18708
2022-10-03,11484
2022-10-04,13473
2022-10-05,15530
2022-10-06,26862
2022-10-07,16928
2022-10-08,25962
2022-10-09,17929
2022-10-10,13366
2022-10-11,13439
2022-10-12,14276
2022-10-13,14392
2022-10-14,20317
2022-10-15,22000
2022-10-16,14043
2022-10-17,10860
2022-10-18,11479
2022-10-19,13878
2022-10-20,14538
2022-10-21,21435
2022-10-22,26374
2022-10-23,19860
2022-10-24,8160
2022-10-25,9294
2022-10-26,11697
2022-10-27,7012
2022-10-28,14619
2022-10-29,18231
2022-10-30,14145
2022-10-31,10919
2022-11-01,10276
2022-11-02,10585
2022-11-03,6649
2022-11-04,9447
2022-11-05,15659
2022-11-06,9471
2022-11-07,8244
2022-11-08,7378
2022-11-09,7931
2022-11-10,8909
2022-11-11,7745
2022-11-12,10169
2022-11-13,7390
2022-11-14,5536
2022-11-15,3491
2022-11-16,5865
2022-11-17,1123
2022-11-18,1565
2022-11-19,3825
2022-11-20,7851
2022-11-21,4914
2022-11-22,5892
2022-11-23,6166
2022-11-24,3580
2022-11-25,8097
2022-11-26,9572
2022-11-27,6007
2022-11-28,5699
2022-11-29,1715
2022-11-30,3751
2022-12-01,6435
2022-12-02,6933
2022-12-03,12849
2022-12-04,7066
2022-12-05,5996
2022-12-06,7465
2022-12-07,7097
2022-12-08,6284
2022-12-09,9479
2022-12-10,11882
2022-12-11,15436
2022-12-12,5933
2022-12-13,4156
2022-12-14,5332
2022-12-15,5205
2022-12-16,5518
2022-12-17,6826
2022-12-18,8733
2022-12-19,5343
2022-12-20,5636
2022-12-21,3726
2022-12-22,0
2022-12-23,119
2022-12-24,808
2022-12-25,2527
2022-12-26,3719
2022-12-27,5580
2022-12-28,2955
2022-12-29,536
2022-12-30,1362
2022-12-31,2698
