Date,Trips By Date | Ends | Scooters
2022-01-01,0
2022-01-02,392
2022-01-03,1357
2022-01-04,2360
2022-01-05,1326
2022-01-06,0
2022-01-07,2477
2022-01-08,7775
2022-01-09,4064
2022-01-10,4312
2022-01-11,3677
2022-01-12,4392
2022-01-13,6028
2022-01-14,5235
2022-01-15,9028
2022-01-16,8085
2022-01-17,6021
2022-01-18,4940
2022-01-19,2579
2022-01-20,3723
2022-01-21,3115
2022-01-22,7401
2022-01-23,5732
2022-01-24,2560
2022-01-25,372
2022-01-26,2197
2022-01-27,970
2022-01-28,3361
2022-01-29,7192
2022-01-30,6700
2022-01-31,3879
2022-02-01,1890
2022-02-02,87
2022-02-03,590
2022-02-04,2001
2022-02-05,5033
2022-02-06,5003
2022-02-07,4049
2022-02-08,5232
2022-02-09,5792
2022-02-10,7866
2022-02-11,2612
2022-02-12,2578
2022-02-13,6020
2022-02-14,6772
2022-02-15,7250
2022-02-16,2825
2022-02-17,1938
2022-02-18,7399
2022-02-19,13689
2022-02-20,11906
2022-02-21,3672
2022-02-22,655
2022-02-23,671
2022-02-24,1194
2022-02-25,3250
2022-02-26,6015
2022-02-27,7093
2022-02-28,6135
2022-03-01,8138
2022-03-02,8382
2022-03-03,8855
2022-03-04,11251
2022-03-05,6836
2022-03-06,704
2022-03-07,2634
2022-03-08,4536
2022-03-09,1650
2022-03-10,2085
2022-03-11,5334
2022-03-12,16705
2022-03-13,11418
2022-03-14,8334
2022-03-15,10657
2022-03-16,6608
2022-03-17,4409
2022-03-18,10624
2022-03-19,17024
2022-03-20,13244
2022-03-21,4818
2022-03-22,5775
2022-03-23,8143
2022-03-24,12127
2022-03-25,16413
2022-03-26,23021
2022-03-27,15284
2022-03-28,9135
2022-03-29,5604
2022-03-30,6955
2022-03-31,10737
2022-04-01,15112
2022-04-02,21627
2022-04-03,10281
2022-04-04,8622
2022-04-05,7223
2022-04-06,6963
2022-04-07,10089
2022-04-08,28274
2022-04-09,26256
2022-04-10,14709
2022-04-11,8518
2022-04-12,8070
2022-04-13,7211
2022-04-14,12427
2022-04-15,17618
2022-04-16,20569
