Operator,Date,Area,Vehicle Type,Trip Start Count,Trip End Count,Morning Deployment Available Count,Mean Available Vehicle Count,Mean Unavailable Vehicle Count,Mean Active Vehicle Count,Vehicle Utilization By Mean Available Vehicles,Vehicle Utilization By Mean Active Vehicles,Average Vehicle Idle Seconds,Total Vehicles Seen
Lime,2022-01-01,2401 Colfax Mobility Hub,e-bike,0,0,0,0,0,0,,,,0
Lime,2022-01-01,Civic Center Station Mobility Hub,e-bike,0,0,0,0,0,0,,,,0
Lime,2022-01-01,Opportunity Areas (4/13/21),e-bike,0,0,168,167.32,6.83,167.32,0,0,85983.81,175
Lime,2022-01-01,15th St for 2023 TIP,e-bike,0,0,26,25.99,3,25.99,0,0,86378,29
Lime,2022-01-01,Coor's Field ,e-bike,0,0,12,12,0,12,0,0,86378,12
Lime,2022-01-01,Coor's Field Larger Area,e-bike,0,0,34,33.99,0,33.99,0,0,86378,34
Lime,2022-01-01,Council District 1,e-bike,0,0,45,45.05,3.94,46.05,0,0,84650.44,50
Lime,2022-01-01,Council District 2,e-bike,0,0,0,0,0,0,,,,0
Lime,2022-01-01,Council District 3,e-bike,0,0,77,76.1,2.13,76.1,0,0,84488.45,80
Lime,2022-01-01,Council District 4,e-bike,0,0,0,0,0,0,,,,0
Lime,2022-01-01,Council District 5,e-bike,0,0,2,2,0,2,0,0,86378,2
Lime,2022-01-01,Council District 6,e-bike,0,0,2,2,0,2,0,0,86378,2
Lime,2022-01-01,Council District 7,e-bike,0,0,27,27.13,1.66,27.13,0,0,85768.21,29
Lime,2022-01-01,Council District 8,e-bike,0,0,7,6.86,1.14,6.86,0,0,86378,8
Lime,2022-01-01,Council District 9,e-bike,0,0,250,250.72,9.01,250.72,0,0,85977.11,261
Lime,2022-01-01,Denver Core - for Avs parade calcs,e-bike,0,0,439,439.1,16.61,440.1,0,0,85781.33,459
Lime,2022-01-01,Denver Union Station,e-bike,0,0,2,2,0,2,0,0,86378,2
Lime,2022-01-01,DTC (Denver),e-bike,0,0,0,0,0,0,,,,0
Lime,2022-01-01,~EAP Boundary,e-bike,0,0,2,2,1,2,0,0,86378,3
